acousticness,danceability,energy,instrumentalness,valence
0.467,0.492,0.675,0.0,0.478
0.252,0.696,0.809,0.000128,0.857
0.0521,0.644,0.735,0.144,0.418
0.0632,0.707,0.681,5.15e-06,0.646
0.227,0.575,0.5,0.0,0.506
0.673,0.72,0.63,0.0,0.607
0.0652,0.486,0.545,0.00474,0.0385
0.00522,0.613,0.914,2.21e-06,0.916
0.417,0.715,0.62,0.0,0.172
0.265,0.732,0.839,0.0,0.629
0.0632,0.707,0.681,5.15e-06,0.646
0.673,0.72,0.63,0.0,0.607
0.227,0.575,0.5,0.0,0.506
0.0521,0.644,0.735,0.144,0.418
0.252,0.696,0.809,0.000128,0.857
0.274,0.778,0.632,0.0,0.498
0.342,0.52,0.731,0.00101,0.662
0.417,0.715,0.62,0.0,0.172
0.0492,0.783,0.729,0.000272,0.58
0.382,0.801,0.806,0.000669,0.802
0.328,0.928,0.468,4.27e-06,0.47
0.673,0.72,0.63,0.0,0.607
0.0965,0.784,0.826,7.09e-05,0.893
0.152,0.772,0.73,0.000107,0.786
0.0628,0.699,0.541,0.0,0.365
0.179,0.736,0.8,0.0,0.961
0.329,0.628,0.668,0.0,0.845
0.187,0.491,0.643,0.0,0.779
0.274,0.778,0.632,0.0,0.498
0.299,0.529,0.602,0.0,0.756
0.0313,0.649,0.683,0.0,0.381
0.00361,0.425,0.939,0.0,0.638
0.00207,0.577,0.941,3.36e-06,0.292
0.357,0.804,0.771,3.07e-06,0.739
0.0209,0.736,0.695,0.0,0.784
0.027,0.814,0.641,0.0,0.183
0.159,0.628,0.775,0.0,0.674
2.77e-05,0.445,0.94,1.34e-05,0.349
0.435,0.836,0.771,0.0,0.664
0.0307,0.733,0.598,1.7e-05,0.831
0.357,0.804,0.771,3.07e-06,0.739
0.027,0.814,0.641,0.0,0.183
0.268,0.593,0.935,0.0,0.783
0.619,0.881,0.592,1.32e-05,0.719
0.0801,0.78,0.683,0.0,0.608
0.0879,0.924,0.563,0.0,0.872
0.236,0.811,0.648,0.0,0.695
0.227,0.575,0.5,0.0,0.506
0.532,0.681,0.821,0.00111,0.813
0.0821,0.882,0.797,0.0,0.824
0.909,0.577,0.379,0.000586,0.26
0.354,0.698,0.505,0.0,0.396
0.572,0.577,0.574,0.0,0.436
0.0964,0.817,0.738,0.0,0.616
0.111,0.679,0.748,0.0,0.406
0.325,0.847,0.558,0.0,0.495
0.515,0.77,0.84,0.00452,0.192
0.0587,0.773,0.795,0.00237,0.649
0.837,0.464,0.491,1.39e-06,0.106
0.138,0.772,0.767,0.0,0.866
0.338,0.691,0.708,0.0,0.602
0.449,0.743,0.865,3.05e-06,0.794
0.732,0.532,0.355,0.0,0.399
0.3,0.654,0.948,0.0,0.706
0.295,0.824,0.587,3.19e-06,0.605
0.13,0.483,0.91,0.0,0.576
0.601,0.67,0.668,0.0,0.552
0.748,0.805,0.767,1.66e-05,0.97
0.124,0.732,0.671,0.0,0.836
0.149,0.636,0.909,0.0,0.61
0.332,0.632,0.615,0.000186,0.348
0.629,0.907,0.609,0.0574,0.756
0.882,0.56,0.42,0.000605,0.585
0.726,0.703,0.28,0.000282,0.338
0.227,0.575,0.5,0.0,0.506
0.724,0.517,0.467,0.0,0.453
0.816,0.808,0.41,0.0,0.361
0.158,0.71,0.879,0.00142,0.341
0.503,0.778,0.649,0.00801,0.619
0.861,0.775,0.358,0.0,0.524
0.227,0.575,0.5,0.0,0.506
0.415,0.71,0.61,2.67e-05,0.404
0.535,0.894,0.63,0.0,0.6
0.0521,0.644,0.735,0.144,0.418
0.141,0.559,0.551,0.0,0.392
0.357,0.804,0.771,3.07e-06,0.739
0.742,0.635,0.451,0.0,0.601
0.534,0.574,0.469,9.21e-05,0.288
0.295,0.627,0.433,0.393,0.353
0.142,0.706,0.505,0.0,0.388
0.502,0.484,0.546,0.0,0.333
0.357,0.804,0.771,3.07e-06,0.739
0.241,0.54,0.54,0.0,0.372
0.027,0.814,0.641,0.0,0.183
0.666,0.37,0.322,0.0,0.0966
0.702,0.586,0.474,0.0,0.189
0.722,0.578,0.508,0.0,0.304
0.268,0.593,0.935,0.0,0.783
0.0655,0.491,0.829,0.0,0.545
0.672,0.309,0.434,0.0,0.427
0.285,0.55,0.5,0.0,0.351
0.0632,0.707,0.681,5.15e-06,0.646
0.517,0.792,0.679,1.49e-05,0.204
