rank,playlist,artist_name,track_name,track popularity,artist genre,acousticness,danceability,energy,instrumentalness,valence,track_id
1,Top Songs - USA,Morgan Wallen,Last Night,83,contemporary country,0.467,0.492,0.675,0.0,0.478,7K3BhSpAxZBznislvUMVtn
2,Top Songs - USA,PinkPantheress,Boy's a liar Pt. 2,95,None,0.252,0.696,0.809,0.000128,0.857,6AQbmUe0Qwf5PZnt4HmTXv
3,Top Songs - USA,SZA,Kill Bill,93,pop,0.0521,0.644,0.735,0.144,0.418,1Qrg8KqiBpW07V7PNxwwwL
4,Top Songs - USA,Miley Cyrus,Flowers,82,pop,0.0632,0.707,0.681,5.15e-06,0.646,4DHcnVTT87F0zZhRPYmZ3B
5,Top Songs - USA,The Weeknd,Die For You (with Ariana Grande) - Remix,67,canadian contemporary r&b,0.227,0.575,0.5,0.0,0.506,4W4fNrZYkobj539TOWsLO2
6,Top Songs - USA,KAROL G,TQG,95,reggaeton,0.673,0.72,0.63,0.0,0.607,0DWdj2oZMBFSzRsi2Cvfzf
7,Top Songs - USA,Lil Uzi Vert,Just Wanna Rock,90,melodic rap,0.0652,0.486,0.545,0.00474,0.0385,4FyesJzVpA39hbYvcseO2d
8,Top Songs - USA,Morgan Wallen,One Thing At A Time,79,contemporary country,0.00522,0.613,0.914,2.21e-06,0.916,1rXq0uoV4KTgRN64jXzIxo
9,Top Songs - USA,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),95,rap,0.417,0.715,0.62,0.0,0.172,2dHHgzDwk4BJdRwy9uXhTO
10,Top Songs - USA,Morgan Wallen,You Proof,78,contemporary country,0.265,0.732,0.839,0.0,0.629,5W4kiM2cUYBJXKRudNyxjW
1,Top Songs - Global,Miley Cyrus,Flowers,82,pop,0.0632,0.707,0.681,5.15e-06,0.646,4DHcnVTT87F0zZhRPYmZ3B
2,Top Songs - Global,KAROL G,TQG,95,reggaeton,0.673,0.72,0.63,0.0,0.607,0DWdj2oZMBFSzRsi2Cvfzf
3,Top Songs - Global,The Weeknd,Die For You (with Ariana Grande) - Remix,67,canadian contemporary r&b,0.227,0.575,0.5,0.0,0.506,4W4fNrZYkobj539TOWsLO2
4,Top Songs - Global,SZA,Kill Bill,93,pop,0.0521,0.644,0.735,0.144,0.418,1Qrg8KqiBpW07V7PNxwwwL
5,Top Songs - Global,PinkPantheress,Boy's a liar Pt. 2,95,None,0.252,0.696,0.809,0.000128,0.857,6AQbmUe0Qwf5PZnt4HmTXv
6,Top Songs - Global,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",96,argentine hip hop,0.274,0.778,0.632,0.0,0.498,4nrPB8O7Y7wsOCJdgXkthe
7,Top Songs - Global,Harry Styles,As It Was,90,pop,0.342,0.52,0.731,0.00101,0.662,4Dvkj6JhhA12EX05fT7y2e
8,Top Songs - Global,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),95,rap,0.417,0.715,0.62,0.0,0.172,2dHHgzDwk4BJdRwy9uXhTO
9,Top Songs - Global,Yandel,Yandel 150,87,latin hip hop,0.0492,0.783,0.729,0.000272,0.58,4FAKtPVycI4DxoOHC01YqD
10,Top Songs - Global,Rema,Calm Down (with Selena Gomez),93,nigerian pop,0.382,0.801,0.806,0.000669,0.802,0WtM2NBVQNNJLh6scP13H8
