RANK,Country,Happiness score
1,Finland,7.821
2,Denmark,7.636
5,Netherlands,7.415
7,Sweden,7.384
8,Norway,7.365
9,Israel,7.364
10,New Zealand,7.2
11,Austria,7.163
12,Australia,7.162
13,Ireland,7.041
14,Germany,7.034
15,Canada,7.025
16,United States,6.977
17,United Kingdom,6.943
18,Czechia,6.92
19,Belgium,6.805
25,Saudi Arabia,6.523
27,Singapore,6.48
28,Romania,6.477
29,Spain,6.476
31,Italy,6.467
37,Panama,6.309
38,Brazil,6.293
39,Guatemala,6.262
44,Chile,6.172
46,Mexico,6.128
48,Poland,6.123
51,Hungary,6.086
54,Japan,6.039
57,Argentina,5.967
59,South Korea,5.935
60,Philippines,5.904
61,Thailand,5.891
66,Colombia,5.781
69,Dominican Republic,5.737
70,Malaysia,5.711
74,Peru,5.559
77,Vietnam,5.485
87,Indonesia,5.24
91,South Africa,5.194
98,Ukraine,5.084
100,Morocco,5.06
112,Turkey,4.744
129,Egypt,4.288
136,India,3.777
